Pilot,Tail Number,Derived Origin,Start Latitude,Start Longitude,Derived Destination,End Latitude,End Longitude,Start Time,End Time,Total Duration,Total Distance,Initial Attitude Source,Device Model,Device Model Detailed,iOS Version,Battery Level,Battery State,GPS Source,Maximum Vertical Error,Minimum Vertical Error,Average Vertical Error,Maximum Horizontal Error,Minimum Horizontal Error,Average Horizontal Error,Imported From,Route Waypoints
,"N122LD","KAWO","48.1573024","-122.1514496","KAWO","48.15735254430559","-122.15153040594406","1552855452336","1552863843819","8391","201.51458942448477","None","iPhone","iPhone11,6","12.1.4","0.89","1","Sentry","22.07112306401249","1.0","1.9806215430716836","32.4417648374363","1.0","1.5961861258094456","iOS","48.31N/122.244W 48.131/-122.272 KAWO"
Timestamp,Latitude,Longitude,Altitude,Course,Speed,Bank,Pitch,Horizontal Error,Vertical Error
"1552855624404","48.1570336","-122.1514496","134.2254611548555","-1.0","0.0","","","1.0","1.0"
"1552855626426","48.156976","-122.1514496","133.56601233595788","-1.0","0.0","","","1.0","1.0"
"1552855627450","48.156944","-122.1514496","133.56601233595788","-1.0","0.0","","","1.0","1.0"
"1552855628466","48.1569088","-122.1514368","133.56601233595788","179.0605607012759","7.350664066940809","","","1.0","1.0"
"1552855629394","48.1568768","-122.1514368","133.56601233595788","178.6936628937357","7.503246026230553","","","1.0","1.0"
"1552855630344","48.1568416","-122.1514368","132.90984435695526","180.02784727825107","7.998921021110328","","","1.0","1.0"
"1552855631345","48.1568032","-122.1514368","132.58504120734895","178.99999148451835","8.464788159653173","","","1.0","1.0"
"1552855632365","48.1567616","-122.1514368","132.58504120734895","178.97536916617202","8.696206925794499","","","1.0","1.0"
"1552855633398","48.1567232","-122.1514368","131.92559238845132","178.46275196180716","8.550161459192044","","","1.0","1.0"
"1552855634413","48.1566848","-122.151424","131.600789238845","177.71044150689636","8.466369990638077","","","1.0","1.0"
"1552855635437","48.1566432","-122.151424","129.3042013123358","179.4132872362854","8.732207270441652","","","1.0","1.0"
"1552855636345","48.1566048","-122.151424","127.98858451443557","180.7699473273579","8.10073140584975","","","1.0","1.0"
"1552855637383","48.1565696","-122.1514368","127.98858451443557","-1.0","0.0","","","1.0","1.0"
"1552855638260","48.156544","-122.1514496","127.98858451443557","-1.0","0.0","","","1.0","1.0"
"1552855639329","48.1565248","-122.1514624","128.3199493438319","-1.0","0.0","","","1.0","1.0"
"1552855640353","48.1565088","-122.151488","128.6447524934382","-1.0","0.0","","","1.0","1.0"
"1552855641377","48.1564992","-122.1515008","127.33569737532797","-1.0","0.0","","","1.0","1.0"
"1552855642504","48.1564832","-122.1515264","129.3042013123358","-1.0","0.0","","","1.0","1.0"
"1552855643424","48.1564736","-122.151552","129.96036929133845","-1.0","0.0","","","1.0","1.0"
"1552855644448","48.1564672","-122.1515904","131.600789238845","-1.0","0.0","","","1.0","1.0"
"1552855645388","48.1564672","-122.151616","131.26942440944867","-1.0","0.0","","","1.0","1.0"
"1552855646393","48.1564672","-122.1516544","131.92559238845132","-1.0","0.0","","","1.0","1.0"
"1552855648344","48.1564672","-122.1517184","130.6165372703411","-1.0","0.0","","","1.0","1.0"
"1552855649364","48.1564672","-122.1517568","132.25695721784766","-1.0","0.0","","","1.0","1.0"
"1552855650388","48.1564704","-122.1517824","132.25695721784766","-1.0","0.0","","","1.0","1.0"
"1552855651412","48.1564704","-122.1518336","130.6165372703411","270.6831951615547","7.010001572690217","","","1.0","1.0"
"1552855652435","48.1564704","-122.151872","130.28517244094476","270.13699814901736","7.316651575766302","","","1.0","1.0"
"1552855654345","48.1564736","-122.1519872","128.3199493438319","269.77381502342746","7.878463107342154","","","1.0","1.0"
"1552855655407","48.1564736","-122.1520384","127.33569737532797","268.96038909529005","8.035231951408157","","","1.0","1.0"
"1552855656431","48.1564736","-122.1521024","127.00433254593165","269.59742649278724","7.746411504101837","","","1.0","1.0"
"1552855658375","48.1564736","-122.1522048","126.0233614173227","270.25596345370803","8.267253113543438","","","1.0","1.0"
"1552855659398","48.1564736","-122.152256","125.36391259842509","269.8194758436902","8.020342175350219","","","1.0","1.0"
"1552855660344","48.1564736","-122.1523072","124.70774461942244","269.3122590984626","7.93534486453775","","","1.0","1.0"
"1552855661465","48.1564704","-122.1523712","124.05485748031485","268.0323820250414","7.86943469089001","","","1.0","1.0"
"1552855663393","48.1564672","-122.1524864","124.37966062992113","268.2530732041978","8.416870883605613","","","1.0","1.0"
"1552855664416","48.1564672","-122.1525376","124.37966062992113","268.45148476774955","8.416032477153593","","","1.0","1.0"
"1552855665439","48.1564672","-122.1526016","124.05485748031485","269.4412940641131","8.372536275101362","","","1.0","1.0"
"1552855666467","48.1564672","-122.1526528","123.3986895013122","267.569209727262","8.89136993218143","","","1.0","1.0"
"1552855668410","48.156464","-122.1527808","122.73924068241458","267.75125416961157","8.719025566096404","","","1.0","1.0"
"1552855669434","48.156464","-122.1528448","122.73924068241458","267.42050087321985","8.551861818102385","","","1.0","1.0"
